Date,BE,TWLO,ZM,SLP,DKNG,SPY,weekday,BE_Weight,TWLO_Weight,ZM_Weight,SLP_Weight,DKNG_Weight,BE_Holding,TWLO_Holding,ZM_Holding,SLP_Holding,DKNG_Holding,Portfolio,SPY_Bench
2020-06-30,10.880000114440918,219.4199981689453,253.5399932861328,59.714839935302734,33.2599983215332,307.13055419921875,1,0.0,0.0,0.7,0.3,0.0,0.0,0.0,85.0,153.0,0.0,30566.847953796387,10442.438842773438
2020-07-01,10.479999542236328,227.77000427246094,259.1300048828125,61.06246566772461,33.869998931884766,309.2819519042969,2,0.0,0.0,0.7,0.3,0.0,0.0,0.0,85.0,153.0,0.0,31368.607662200928,10515.586364746094
2020-07-02,10.350000381469727,232.35000610351562,261.739990234375,61.69136047363281,33.060001373291016,310.9851379394531,3,0.0,0.0,0.7,0.3,0.0,0.0,0.0,85.0,153.0,0.0,31686.677322387695,10573.494689941406
2020-07-06,11.8100004196167,235.44000244140625,261.0,61.75125503540039,32.41999816894531,315.7859191894531,0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,85.0,153.0,0.0,31632.94202041626,10736.721252441406
2020-07-07,11.350000381469727,233.3000030517578,262.1000061035156,61.541622161865234,30.600000381469727,312.5289611816406,1,0.03,0.0,0.63,0.34,0.0,90.0,0.0,76.0,176.0,0.0,31694.36870956421,10625.984680175781
2020-07-08,12.529999732971191,243.61000061035156,266.32000732421875,61.721309661865234,33.099998474121094,314.91937255859375,2,0.03,0.0,0.63,0.34,0.0,90.0,0.0,76.0,176.0,0.0,32230.971033096313,10707.258666992188
2020-07-09,13.010000228881836,245.3000030517578,269.5199890136719,63.458248138427734,32.81999969482422,313.1265563964844,3,0.03,0.0,0.63,0.34,0.0,90.0,0.0,76.0,176.0,0.0,32823.07085800171,10646.302917480469
2020-07-10,13.720000267028809,240.5800018310547,275.8699951171875,62.35020065307617,32.43000030517578,316.3237609863281,4,0.03,0.0,0.63,0.34,0.0,90.0,0.0,76.0,176.0,0.0,33174.55496788025,10755.007873535156
2020-07-13,12.109999656677246,224.8000030517578,260.29998779296875,62.35020065307617,29.5,313.584716796875,0,0.03,0.0,0.63,0.34,0.0,90.0,0.0,76.0,176.0,0.0,31846.334356307983,10661.88037109375
2020-07-14,13.09000015258789,223.82000732421875,260.010009765625,62.19048309326172,30.21500015258789,317.6484680175781,1,0.06,0.0,0.37,0.57,0.0,150.0,0.0,45.0,291.0,0.0,31884.385780334473,10800.047912597656
2020-07-15,17.649999618530273,224.27000427246094,256.2200012207031,62.27034378051758,32.560001373291016,320.5667724609375,2,0.06,0.0,0.37,0.57,0.0,150.0,0.0,45.0,291.0,0.0,32298.070037841797,10899.270263671875
