Date,High,Low,Open,Close,Volume,Adj Close
2015-08-04,211.09483337402344,209.4225003560384,210.39666646321615,210.24200007120768,106824525.0,189.15029271443686
2015-08-05,211.08516667683918,209.4093335469564,210.37799962361655,210.23300018310547,106992503.33333333,189.15749918619792
2015-08-06,211.0816665649414,209.39316685994467,210.38933283487955,210.20583368937176,106930890.0,189.14827829996744
2015-08-07,211.0336664835612,209.3453333536784,210.35083287556967,210.17133356730145,107317391.66666667,189.1324473063151
2015-08-10,211.00616633097331,209.31816660563152,210.31816609700522,210.1440002441406,107056336.66666667,189.12323786417645
2015-08-11,210.9538330078125,209.2498331705729,210.2603327433268,210.0811668395996,107882525.0,189.0820337931315
2015-08-12,210.88283309936523,209.13649978637696,210.17483266194662,210.0115000406901,109508758.33333333,189.0347162882487
2015-08-13,210.81583302815756,209.05849965413412,210.09966583251952,209.93866678873698,109796570.0,188.98453826904296
2015-08-14,210.7446662902832,208.98783289591472,210.0209991455078,209.88100001017253,109728720.0,188.94802652994792
2015-08-17,210.69199956258137,208.91533304850262,209.95433247884114,209.83249994913737,109967186.66666667,188.91982498168946
2015-08-18,210.6443328857422,208.86183293660483,209.90799916585286,209.78233311971027,110204840.0,188.89008280436198
2015-08-19,210.59599939982095,208.8143330891927,209.8528325398763,209.74266662597657,111015463.33333333,188.8696434020996
2015-08-20,210.5178326924642,208.69999974568685,209.77383244832356,209.59716669718424,112700695.0,188.75391642252603
2015-08-21,210.3736661275228,208.46483306884767,209.59716567993163,209.35333328247071,117227593.33333333,188.54950180053712
2015-08-24,210.12449951171874,207.9911661783854,209.18233235677084,208.99266662597657,123599671.66666667,188.23963953653973
2015-08-25,209.84299952189127,207.59616622924804,208.90716552734375,208.58766657511393,128207910.0,187.88983154296875
2015-08-26,209.5529993693034,207.23116607666014,208.59149881998698,208.30600001017254,132336676.66666667,187.65122248331707
2015-08-27,209.33216603597006,206.9624994913737,208.341832224528,208.09516677856445,135442060.0,187.4765256245931
