calendardate,ticker,eps,netinc,opinc,ncfo,cashnequsd,de,ebitda,fcf,marketcap,netmargin,pb,pe,ps,workingcapital,ev,divyield,fcfps,revenue,invcap,ebit,equityusd,assets,roe,roa,roic,stock_price,sp500_price,stock_p_change,sp500_p_change
9/30/2020,EGHT,-0.37,-38413000.0,-33098000.0,-3818000.0,128765000.0,2.9389999999999996,-26906000.0,-12828000.0,1932923743.0,-0.297,11.08,-10.89,3.937,152126000.0,2200971743.0,0.0,-0.12300000000000001,129133000.0,688768000.0,-38276000.0,174459000.0,687244000.0,-0.2201835388257413,-0.05589426753816694,-0.05577059329120981,16.073166624704996,331.48317769368487,0.18,2.14
9/30/2018,EGL,0.12,4282000.0,26808000.0,42106000.0,41699000.0,1.8,36584000.0,33979000.0,1147145246.0,0.009000000000000001,1.642,-31.12,0.603,99553000.0,2002563246.0,0.0,0.919,471207000.0,1119713000.0,25864000.0,698532000.0,1964813000.0,0.006129998339374574,0.0021793422580164115,0.0038241942354871293,3.0621666073799134,273.4200927734375,-0.01,0.07
9/30/2018,EGN,-0.27,-26572000.0,-20323000.0,301671000.0,17057000.0,0.5870000000000001,113855000.0,-67788000.0,6918612129.0,-0.11699999999999999,1.9180000000000001,16.354,5.795,-323045000.0,8027500129.0,0.0,-0.695,226256000.0,6263369000.0,-20322000.0,3607883000.0,5724038000.0,-0.007364983842325264,-0.004642177427892687,-0.004242445239933972,76.33333358764648,273.4200927734375,3.16,0.07
9/30/2020,EGOV,0.37,25091000.0,29806000.0,23641000.0,235348000.0,0.5870000000000001,33334000.0,21173000.0,1411665384.0,0.18600000000000003,5.053999999999999,23.254,3.4739999999999998,243710000.0,1188045384.0,0.017,0.316,134590000.0,43098000.0,29806000.0,279342000.0,443440000.0,0.08982179550515139,0.05658262673642432,0.5821847881572231,21.46312624613444,331.48317769368487,-1.5,2.14
6/30/2018,EGRX,0.18,2659000.0,-607000.0,5667000.0,100247000.0,0.475,1172000.0,5667000.0,1165328518.0,0.045,6.274,39.117,5.402,153858000.0,1111799518.0,0.0,0.381,59296000.0,113625000.0,184000.0,185731000.0,273937000.0,0.014316403831347486,0.00970661137414807,0.023401540154015403,63.64250030517578,258.16588694254557,13.46,1.7
9/30/2020,EHC,0.78,100100000.0,172500000.0,173400000.0,507200000.0,3.1,237200000.0,82500000.0,6269216855.0,0.085,4.122,24.094,1.359,491900000.0,9614416855.0,0.018000000000000002,0.836,1173900000.0,6512600000.0,176000000.0,1520800000.0,6610500000.0,0.06582062072593371,0.015142576204523106,0.015370205447900992,64.35345287322998,331.48317769368487,0.65,2.14
6/30/2020,EHTH,-0.13,-3370000.0,-6254000.0,-21305000.0,80196000.0,0.191,-4571000.0,-27506000.0,1968066080.0,-0.038,2.485,25.27,3.472,312413000.0,1938576080.0,0.0,-1.044,88766000.0,821763000.0,-5802000.0,792055000.0,943348000.0,-0.0042547550359507864,-0.0035723826201995447,-0.00410093907854211,115.47999979654949,292.61378580729166,-3.54,4.35
9/30/2020,EIDX,-0.79,-30176000.0,-29403000.0,-27634000.0,147327000.0,0.313,-29335000.0,-27741000.0,2788775534.0,-237.606,22.7,-27.658,21958.862,139721000.0,2662915534.0,0.0,-0.723,127000.0,21664000.0,-29410000.0,122856000.0,161351000.0,-0.24562088949664648,-0.1870208427589541,-1.3929098966026587,44.68166650136312,331.48317769368487,19.19,2.14
12/31/2018,EIGI,0.09,12770000.0,35151000.0,48959000.0,90576000.0,13.940999999999999,71967000.0,25422000.0,1012225109.0,0.045,5.8020000000000005,223.252,0.884,-300692000.0,2731689109.0,0.0,0.177,282395000.0,1587590000.0,35255000.0,174454000.0,2606507000.0,0.07319981198482121,0.004899277078480894,0.00804363847088984,8.276999998092652,258.4602567036946,-4.73,-1.81
9/30/2020,EIX,-0.76,-242000000.0,-379000000.0,446000000.0,30000000.0,3.097,212000000.0,-851000000.0,21881889253.0,-0.062,1.348,61.466,1.6340000000000001,-2507000000.0,41566889253.0,0.044000000000000004,-2.251,4644000000.0,79833000000.0,-295000000.0,16234000000.0,68453000000.0,-0.014906985339411113,-0.0035352723766672025,-0.0030313278969849563,52.45482635498047,331.48317769368487,1.18,2.14
